Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
LUPINUS ARGENTEUS,46.278,0.3955,28.5,15.91270952,0.1524,0.24348977,12.8732,NA,"RootN, SRL, from groot",SLA  from Julie Larson,depth from TRY,RTD from Blonder et al. 2018 J Ecol,"leafN, height from Laughlin 2010",
LUPINUS PERENNIS,25.71788383,0.2475,29.52364967,19.66120215,0.32,0.32,64.09193834,0.34,"leafN, height, SLA from TRY","rootN, depth, RTD, SRL, diam from groot",,,,
LUZULA CAMPESTRIS,16.58961309,0.205,NA,23.94844812,0.21,0.333333333,551.1830025,0.145733333,"RTD, SRL, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN from Gubsch M, Buchmann N, Schmid B, Schulze E-D, Lipowsky A, Roscher C (2011) Differential effects of plant diversity on functional trait variation of grass species. Annals of Botany 107, 157-169.","height, SLA from TRY",,
LUZULA MULTIFLORA,25.54618746,0.2110425,5.237476541,25.53913437,NA,NA,132.06,NA,"RootN, SRL from groot","leafN, height, SLA from TRY",,,,
LUZULA PILOSA,16.9625,0.225,12.5,25.5,NA,NA,565.6,0.21,"leafN, height, SLA from TRY","rootN, SRL, diam from Spitzer et al. 2020 New Phytol",,,,
LUZULA SPICATA,22.59228887,0.24812,NA,13.42568753,0.254,NA,152.8099999,0.22,SRL from groot,"leafN, height, SLA, depth from TRY",,,,
LYSIMACHIA EUROPAEA,32.8,0.09,NA,51,NA,NA,NA,NA,"leafN, height, SLA from Novakovskiy et al. 2021 Physiol Mol Biol Plants",,,,,
LYSIMACHIA NUMMULARIA,17.1,0.5,NA,30.86299914,0.32,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
LYTHRUM HYSSOPIFOLIA,NA,0.305833333,NA,24.09,NA,NA,NA,NA,"height, SLA from TRY",,,,,
MACHAERANTHERA PINNATIFIDA,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,"SLA, RTD, fineRTD,SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,depth from Tumber-Davila et al. 2022 New Phytol,,
MARSDENIA AUSTRALIS,NA,NA,NA,5.8,NA,NA,NA,NA,SLA from TRY,,,,,
MEDICAGO LACINIATA,NA,0.05,NA,23.68,NA,NA,NA,NA,"height, SLA from TRY",,,,,
MEDICAGO LUPULINA,32.94,0.112,26.12778969,21.96,0.3048,0.105696982,180.1564169,0.281707971,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA from Jena",depth from TRY,,,
MEDICAGO MINIMA,36.2,0.1701,33.34666667,24.66638889,0.22,0.0815,211.5066667,0.3834,"RTD, SRL, Diam from groot",,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,
MEDICAGO POLYMORPHA,40.93,0.49192,NA,26.27057155,0.3048,0.83,271.4317854,0.39,"height, SLA, depth from TRY",leafN from Komastu et al. 2023 EDI,SRL from Kandlikar et al. 2022 Functional Ecology,,,
MELILOTUS OFFICINALIS,NA,1.5,3.75,19.375,1.16,0.12,100,0.29,"RootN, RTD, SRL, Diam from groot",height from AusTraits,,,,
MICROSERIS LANCEOLATA,NA,0.4,NA,11.380814,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
MICROSERIS SCAPIGERA,NA,0.36,NA,35.23,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
MILLOTIA TENUIFOLIA,NA,0.12,NA,36.253385,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
MINUARTIA GLOMERATA,NA,NA,NA,11.1936,NA,NA,NA,NA,SLA from Halassy et al. 2019 Restoration Ecology,,,,,
MINURIA DENTICULATA,NA,0.15,NA,10.12839779,NA,NA,NA,NA,"height, SLA from TRY",,,,,
MOLINIA CAERULEA,19.7245873,0.699125,8.366751778,17.87260174,0.8,NA,56.8752851,0.269333333,"RootN ,depth,SRL, Diam from groot","leafN, height, SLA from TRY",,,,
MONARDA FISTULOSA,11.29051118,0.662,17.87547,26.21085308,0.1016,0.27,93.37285277,0.28925,"RootN, SRL, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA, depth from TRY",,,
MONARDA PUNCTATA,13.2,0.4265,NA,18.95202815,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
MUHLENBERGIA ARENICOLA,NA,NA,NA,14.31621017,NA,NA,139.5016,0.034,"SLA, RTD, fineRTD,SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,,,
MUHLENBERGIA RACEMOSA,31.043,0.684,NA,31.89085821,0.065,NA,71.52399084,NA,SRL from groot,leafN from TRY,,,,
MUHLENBERGIA RICHARDSONIS,20.5218701,0.1524,NA,13.97,0.1524,NA,NA,NA,"height, depth from TRY",,,,,
MYOSOTIS DISCOLOR,NA,0.25375,NA,27.63777778,NA,NA,803.0916667,0.846666667,"height, SLA from TRY",diam from austraits,SRL from Lachaise 2021 Oikos,,,
MYOSOTIS STRICTA,NA,0.136666667,NA,21.00716667,NA,NA,NA,NA,"height, SLA from TRY",,,,,
NARTHECIUM OSSIFRAGUM,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
NASSELLA NEESIANA,14.2304221,0.8,NA,16,NA,NA,NA,NA,leafN from Jardin et al. 2020 J. Biogeo,SLA from Cruz et al. 2019 Ecologia Austral,height from AusTraits,,,
NASSELLA TRICHOTOMA,NA,0.7,NA,11.297312,NA,NA,NA,0.77666667,"height, SLA, diam from AusTraits",,,,,
NASSELLA VIRIDULA,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,"RTD, SRL, Diam from groot","leafN, SLA from Jardine et al. 2010 J. Biogeo","height, depth from TRY",,,
NEOTTIA OVATA,NA,0.32,NA,30.18571429,NA,NA,NA,NA,"height, SLA from TRY",,,,,
NEURACHNE ALOPECUROIDEA,NA,0.5,NA,7.6793,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
NOTICASTRUM SERICEUM,30.175,NA,NA,36.99,NA,NA,NA,NA,"leafN, SLA from TRY",,,,,
OREOCHLOA DISTICHA,22,0.115,NA,9.2,NA,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,"height, SLA from tRY",,,,
ORTHOCARPUS LUTEUS,11.5,0.4572,11.9,19.9635464,0.254,0.333333333,84.3705,0.2062,"height, depth from TRY","RTD, SRL, diam from groot","SLA,leafN,rootN from Cahill 2020 ERA",,,
OXALIS ACETOSELLA,28.21760537,0.104166667,5.86667,64.32508321,NA,NA,NA,0.1,"leafN, height, rootN, SLA from TRY",,,,,
OXALIS CONORRHIZA,NA,0.1176,NA,42.67,NA,NA,NA,NA,"height, SLA from TRY",,,,,
OXALIS DILLENII,36.94,0.188478161,NA,41.82566697,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, SLA from tRY",,,,
OXALIS STRICTA,23.5,0.4,NA,57.7,NA,NA,NA,NA,leafN from Abundance_trait_biomass,height from TRY,,,,
PACKERA CANA,NA,0.4572,NA,6.036472348,0.3048,NA,NA,NA,SLA from Carmona et al. 2021 Sci Adv,"height, depth from TRY",,,,
PANICUM ACUMINATUM,17.50836364,0.238666667,NA,21.67056595,NA,NA,180.896992,NA,"SRL from Tucker SS, Craine JM, Nippert JB (2011) Physiological drought tolerance and the structuring of tallgrass assemblages. Ecosphere 2(4): 48","leafN, height, SLA from TRY",,,,
PANICUM CAPILLARE,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,"RTD, SRL, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
PANICUM OLIGOSANTHES,17.37461517,0.38,NA,22.63325572,NA,NA,NA,NA,"leafN, SLA from TRY","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",,,,
PANICUM SABULORUM,NA,0.258884374,NA,24,NA,NA,NA,NA,height from TRY,SLA from Cruz et al. 2019 Ecologia Austral,,,,
PANICUM VIRGATUM,13.38217228,0.926,7.8,29.26984617,0.075,0.32898758,120.510799,0.39,"RTD, SRL from groot","rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",SLA from Konza_Bachle&Nippert,"height and depth from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, rootN from tRY",
PAPAVER RHOEAS,37.31906667,0.63375,NA,33.07,NA,0.54,NA,0.33,"height, SLA from TRY",leafN from Cerabolini et al. 2010 Plant Ecology,"diam, RTD from Perez-Ramos et al. 2019 Nat Comm",,,
PAPPOPHORUM CAESPITOSUM,20.7,0.42,NA,10.705,NA,NA,NA,NA,height from Conti and Diaz 2012 J. Ecol,"leafN, SLA from TRY",,,,
PAPPOSTIPA SPECIOSA,NA,0.6096,NA,4.202740187,0.254,NA,NA,NA,"height, SLA, depth from TRY",,,,,
PARNASSIA PALUSTRIS,16.99145067,0.29014,NA,29.0232756,0.2032,NA,NA,NA,"leafN, height, SLA, depth from TRY",,,,,
PARTHENIUM INTEGRIFOLIUM,15.3,0.7746,NA,10.84,1.8,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from Farrell 2018 thesis Northern Illinois University",,,,
PASCOPYRUM SMITHII,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"RootN, RTD diam from groot, ","leafN, height, SLA, SRL from Laughlin2010",depth from Tumber-Davila et al. 2022 New Phytol,,,
PASPALUM DILATATUM,17.4533552,0.4722,8.133333333,16.30478,0.1524,0.102,18.37,NA,"RootN, RTD, SRL, from groot",leafN from Jardine et al. 2020 J. Biogeo,SLA from AusTraits,"height, depth from TRY",,
PASPALUM NOTATUM,NA,0.078881818,NA,16.66225212,NA,0.35,NA,NA,height from TRY,SLA from Siefert et al. 2014 PloS ONE,RTD from Nwoke et al. 2016 IJCIET,,,
PASPALUM PAUCIFOLIUM,NA,0.3,NA,19.08,NA,NA,NA,NA,"height, SLA from Joner et al. 2021 J. Veg Sci",,,,,
PASPALUM PLICATULUM,NA,0.665255903,NA,15.45156687,0.1016,NA,NA,NA,"height, depth from TRY",SLA from Streit et al. 2022 J. Veg Sci,,,,
PASPALUM QUADRIFARIUM,10,2,NA,2.825,NA,NA,NA,NA,"leafN, SLA from TRY",height from ,,,,
PASPALUM VAGINATUM,3.6045301,0.03048,15.6,10.41,0.1524,NA,NA,NA,"leafN, SLA Jardine et al. 2010 J Biogeo",rootN from Doncato and Costa et al. 2022 horticultura brasileira,,"height, depth from TRY",,
PEDICULARIS SYLVATICA,38.59,0.161666667,24.01,11.55,NA,NA,NA,NA,"leafN from Milla & Reich 2011 Annals of Botany 107: 455–465, 2011.",RootN from groot,"height, SLA from TRY",,,
PELARGONIUM RODNEYANUM,NA,0.4,NA,16.370301,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
PENSTEMON ALBIDUS,16.68,0.13425,NA,9.692319451,NA,NA,NA,NA,"leafN, height, SLA from Blumenthal et al .2020 J Ecol",,,,,
PENTASCHISTIS AIROIDES,NA,0.17,NA,29.666,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv.",,,,,
PERSICARIA VIVIPARA,21.5,0.283,NA,22,NA,NA,NA,NA,"leafN, height, SLA from Novakovskiy et al. 2021 Physiol Mol Biol Plants",,,,,
PFAFFIA TUBEROSA,NA,0.227422476,NA,14.86229927,NA,NA,NA,NA,height from TRY,SLA from Streit et al. 2022 J. Veg Sci,,,,
PHALARIS ARUNDINACEA,27.64461715,1.564054762,NA,21.45431499,0.3556,0.181670595,159.3597052,0.252341667,"RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
PHLEUM ALPINUM,24.71901341,0.19724,9.103855654,20.58967646,0.254,NA,73.35000002,0.25,"RootN, SRL from groot","leafN, height, SLA, depth from TRY",diam from Spitzer et al. 2020 New Phytol,,,
PHLEUM PRATENSE,18.59699785,0.844195238,9.9,23.72403526,0.254,0.155576899,393.5587203,0.133333333,"RTD, SRL from groot","leafN, height, rootN, SLA, depth, diam from TRY",,,,
PHLOX HOODII,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,"depth, RTD, SRL, Diam from groot",Blumenthal et al. 2020 J. Ecol,,,,
PHLOX PILOSA,17.253,0.6,NA,25.66852391,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
PHRAGMITES AUSTRALIS,25.29984195,NA,13.1,13.81737428,0.508,0.126872908,322.7959115,0.18602,"RTD, SRL, Diam from groot","leafN, rootN, SLA, depth from TRY",,,,
PHYSALIS HEDERIFOLIA,19.19,NA,NA,20.70393375,NA,NA,NA,NA,"leafN, SLA from Carmona et al. 2021 Sci Adv",,,,,
PHYTEUMA HEMISPHAERICUM,27,0.1,NA,19.5,NA,NA,NA,NA,SLA Piece et al. J. Ecol jec1242sa2,leafN from FIFTH 11258_2010_9753_MOESM1_ESM,height from TRY,,,
PICRIS HIERACIOIDES,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA from Jena",depth from Tumber-Davila et al. 2022 New Phytol,,,
PILOSELLA AURANTIACA,14.23505,0.358333333,NA,29.759314,NA,NA,NA,NA,"height, SLA from TRY",,,,,
PILOSELLA PILOSELLOIDES,12.76308667,0.455,NA,27.17333333,NA,0.187679414,13.38170314,NA,"RTD, SRL from groot","leafN from Cerabolini B.E.L., Brusa G., Ceriani R.M., De Andreis R., Luzzaro A. & Pierce S. 2010. Can CSR classification be generally applied outside Britain? Plant Ecology 210: 253-261","height, SLA from TRY",,,
PIMPINELLA SAXIFRAGA,21.22166667,0.445,3.322678571,21.46439541,NA,0.315348446,149.6596103,0.228622222,"RootN, RTD, SRL, diam from groot","leafN, height, SLA from TRY",,,,
PLANTAGO EURYPHYLLA,45.18531954,0.03,NA,15.9845175,NA,NA,NA,NA,height from AusTraits,"leafN, SLA from TRY",,,,
PLANTAGO LANCEOLATA,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,"depth, RTD, SRL diam from groot",leafN and SLA from Yarra,"height, rootN from TRY",,,
PLANTAGO MEDIA,21.618,0.343555556,20.97373175,19.41312728,1.265,0.14470696,247.0511695,0.251542857,"rootN, RTD, SRL diam from groot","leafN, height, SLA from TRY",,,,
PLANTAGO OVATA,28.37307756,0.0588,NA,10.46839723,0.115,NA,NA,NA,"leafN from Frenette-Dussault, C., Shipley, B., Léger, J.F., Meziane, D. & Hingrat, Y. (2012). Functional structure of an arid steppe plant community reveals similarities with Grime's C-S-R theory. Journal of Vegetation Science 23: 208-222.","height, SLA from Carmona et al. 2021 Sci Adv",,,,
PLANTAGO PATAGONICA,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,"RTD, SRL,Diam from groot","leafN, height, SLA, depth from TRY",,,,
PLANTAGO RHODOSPERMA,15.425,NA,NA,17.37,NA,NA,NA,NA,SLA from Craine and Townsend 2010 Plant Soil,leafN from Craine et al. 2012 Plant Soil,,,,
PLANTAGO VIRGINICA,40.89,0.224,NA,17.78314286,NA,NA,NA,NA,"SLA from Miller JED, Ives AR, Harrison SP, Damschen EI (2018) Early&#8208; and late&#8208;flowering guilds respond differently to landscape spatial structure. J Ecol. 106:1033–1045. https://doi.org/10.1111/1365-2745.12849",leafN from Carmona et al. 2021 Sci Adv,,,,
POA ALPINA,13,0.298831111,16.9,21.51150438,0.254,NA,292.2,0.26,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,"rootN, SRL, diam from Spitzer et al. 2020 New Phytol","height, SLA, depth from TRY",,,
POA ANGUSTIFOLIA,12.95,0.48,5.764,20.11666667,NA,0.316453559,NA,0.113446154,"RTD, diam from groot",rootN from Lozano et al. 2020 Func. Ecology,"leafN, height, SLA from TRY",,,
POA BULBOSA,17.70666667,0.3224,10.49,21.09,0.2032,NA,NA,0.01366667,root N from groot,"leafN, height, SLA, depth from TRY",diam from AusTraits,,,
POA COMPRESSA,13.678,0.2491,8.04,20.91883636,0.254,NA,54.78896667,0.53,Rdiam from Julie Larson,"rootN, SRL from groot","leafN, height, SLA from Laughlin2010",depth from TRY,,
POA CUSICKII,16.7,0.349083334,NA,14.32555335,NA,0.35709192,134.2380045,0.1684,"leafN from Adler P. B., D. G. Milchunas, W. K. Lauenroth, O. E. Sala and I. C. Burke  (2004) Functional traits of graminoids in semi-arid steppes: a test of grazing histories. Journal of Applied Ecology 2004 41, 653–663","RTD, SRL, diam from groot","height, SLA from Carmona et al. 2021",,,
POA HIEMATA,13.7803809,0.6,NA,3.35531,NA,NA,NA,NA,"leafN, height, SLA from AusTraits",,,,,
POA HOTHAMENSIS,18.1774119,0.9,NA,5.099444,NA,NA,NA,NA,"leafN, height, SLA from austraits",,,,,
POA LANIGERA,NA,NA,NA,24,NA,NA,NA,NA,SLA from Cruz et al. 2019 Ecologia Austral,,,,,
POA LIGULARIS,22.4,1.2,10.4,6.944926731,0.7,NA,NA,NA,"RootN, depth from groot",leafN Campanella and Bertiller 2008 J. Veg Sci,"height, SLA from TRY",,,
POA PALUSTRIS,NA,1.031175,NA,26.81033951,0.3048,NA,NA,NA,"height, SLA, depth from TRY",,,,,
POA PRATENSIS,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"LeafN, height, rootN, SLA, SRL from Laughlin2010","RTD, diam from groot",depth from TRY,,,
POA SECUNDA,16.12,0.42672,14.54,11.51,0.254,NA,197.6,NA,SLA from Jardine et al. 2010 J Biogeo,leafN from Blumenthal et al. 2020 J. Ecol,SRL from Balazs,rootN from Solomon 2019 plants,"height, depth from TRY",
POA TRIVIALIS,34.02187304,0.640983219,31.34075583,38.18960088,0.3048,0.080269491,601.5858444,0.173758288,"RTD, diam from groot","leafN, height, rootN, SLA, depth from TRY",,,,
POLYGALA CONFUSA,NA,NA,NA,20.29,NA,NA,NA,NA,,,,,,
POLYGALA VULGARIS,23.74545578,0.172916667,NA,19.02952398,NA,NA,396.667,NA, SRL from Lachaise et al. 2021 Oikos,leafN from Komastu et al. 2023 EDI,"height, SLA from TRY",,,
POLYGONATUM BIFLORUM,18.1,NA,NA,25.48648123,NA,NA,NA,NA,leafN from TRY,SLA from Komastu et al. 2023 EDI,,,,
POLYGONUM ARENARIUM,NA,NA,NA,16.81,NA,NA,NA,NA,SLA from Halassy et al. 2019 Restoration Ecology,,,,,
POMARIA JAMESII,NA,NA,NA,16.30169355,1.95,NA,NA,0.8607,"SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,,,,
PORTULACA HALIMOIDES,NA,NA,NA,38.69912893,NA,NA,NA,0.05,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,
POTENTILLA ANSERINA,26.20897891,0.277222222,NA,17.47534074,0.43,NA,634.25,NA,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
POTENTILLA AUREA,30.417,0.0915,NA,22.13904012,0.55,NA,NA,NA,depth from groot,"leafN, height, SLA from TRY",,,,
POTENTILLA ERECTA,25.74581524,0.203633333,9.89,22.4188617,0.55,NA,362.7833333,NA,rootN from groot,SRL from Lachaise et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
POTENTILLA GRANDIFLORA,22.90611744,0.16935,NA,39.1,NA,NA,NA,NA,SLA Piece et al. J. Ecol jec1242sa2,"leafN from Bjorkman, AD, IH Myers-Smith, SC Elmendorf, S Normand, HJD Thomas, and 86 others (2018) Tundra Trait Team: a database of plant traits spanning the tundra biome. Global Ecology and Biogeography 27(12): 1402-1411.",height from Carmona et al. 2021 Sci Adv,,,
POTENTILLA REPTANS,24.6133503,0.274083333,NA,23.567332,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
PRIMULA GLUTINOSA,27,0.045,NA,13.58757528,0.2515,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,SLA from TRY,height from Carmona et al. 2021 Sci Adv,,
PRIMULA VERIS,29.2745343,0.206597778,15.94,23.12304233,0.31,0.5685,344,NA,rootN from groot,"height, SLA from TRY",,,,
PROSOPIS GLANDULOSA,29.56111,NA,NA,6.97966443,NA,NA,NA,NA,SLA from Carmona et al. 2021 Sci Adv,leafN from TRY,,,,
PRUNELLA VULGARIS,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,"RTD, SRL, diam from groot","leafN, height, rootN, SLA, depth from TRY",,,,
PSEUDOROEGNERIA SPICATA,NA,0.267,NA,23.893,NA,0.153771092,103.8213416,0.237714286,"RTD, SRL, diam from groot","height, SLA form Balazs ",,,,
PSORALIDIUM TENUIFLORUM,24.275,0.056,NA,16.82,NA,0.43,NA,0.67,"leafN, height, sla, rootdiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",RTD from Tucker et al. 2011 Ecosphere,,,,
PTERIDIUM AQUILINUM,21.68333333,1.99667,9.852689835,16.98656271,0.254,0.184848485,53.87484386,0.2511,"RootN, RTD, SRL, diam from groot","leafN, SLA, depth from tRY",,,,
PTILOTUS POLYSTACHYUS,23.98,1,NA,9.6,NA,NA,37,NA,"height, SLA from TRY","leafN, SRL from Austraits",,,,
QUINETIA URVILLEI,NA,0.2,NA,28.711511,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
RANUNCULUS ACRIS,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,"RTD, SRL, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, rootN, SLA from TRY",,,
RANUNCULUS REPENS,23.05293867,0.369253333,9.982096286,29.1838443,0.1524,0.133080484,217.6519817,0.412452083,"RootN,RTD, SRL, diam from groot","leafN, height, SLA, depth from TRY",,,,
RANUNCULUS RHOMBOIDEUS,15.478,NA,NA,17.75698741,NA,NA,NA,NA,"leafN, SLA from TRY",,,,,
RANUNCULUS VICTORIENSIS,NA,NA,NA,7.820232,NA,NA,NA,NA,SLA from AusTraits,,,,,
RAPHANUS SATIVUS,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,RootN from groot,depth from Tumber-Davila et al. 2022 New Phytol,leafN from Tribouillois et al. 2015 Plos One,"height, SLA from TRY",,
RATIBIDA COLUMNIFERA,17.595,0.94488,NA,22.85,0.3556,NA,56,0.66,"SLA and rootdiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",leafN from Craine et al. 2012 Plant Soil,"height, depth from TRY",,,
RHINANTHUS MINOR,34.3558401,0.395833333,NA,18.84206584,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
RHODANTHE FLORIBUNDA,NA,0.25,NA,22.32616445,NA,NA,NA,NA,"height, SLA from TRY",,,,,
RHODANTHE PYGMAEA,NA,0.08,NA,42.578,NA,NA,NA,NA,"height, SLA from austraits",,,,,
ROMULEA ROSEA,NA,0.4,NA,10.313611,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
RUBIA PEREGRINA,13.1,0.25275,13.4,14.4517037,0.143,0.143,104.1,0.3625,"RooN, RTD, SRL, diam from groot","leafN, height, SLA from TRY",,,,
RUDBECKIA HIRTA,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,"RootN, RTD, SRL, diam from groot","leafN, height, SLA, depth from TRY",,,,
RUELLIA HUMILIS,17,0.502906667,NA,12.07550636,0.1016,0.40803047,18.40109592,0.42,"RTD, SRL from groot",Diam from Tucker et al. 2011 Ecosphere,leafN from Khalil et al. 2019 Func Ecol,"height, SLA, depth from TRY",,
RUELLIA MORONGII,NA,0.035,NA,17.88,NA,NA,NA,NA,height from TRY,SLA from Joner et al. 2021 J Veg Sci,,,,
RUMEX ACETOSA,40.4730773,0.63555,9.226533422,25.84234182,0.3155,0.252258472,161.1286432,0.240291458,"RootN, RTD, SRL, diam from groot","leafN, height, SLA from TRY",,,,
RUMEX ACETOSELLA,34.93757406,0.235714286,18.76112,26.0517312,0.342666667,0.166783945,235.1049652,0.262467915,"RTD, diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","SRL from Freschet GT, Kichenin E, Wardle DA. 2015. Explaining within-community variation in plant biomass allocation: a balance between organ biomass and morphology above vs below ground? Journal of Vegetation Science 26: 431-440.","leafN, rootN, SLA from TRY",,
RUMEX CRISPUS,28.64619072,0.846916667,3.807,98.2,NA,0.330035336,154.3076856,0.17924,"RTD, SRL, diam from groot","leafN, height, rootN from TRY",,,,
RYTIDOSPERMA CAESPITOSUM,NA,0.55,NA,9.440331,0.66,NA,168.7,0.271,"depth, SRL, diam from groot",SLA from AusTraits,height from TRY,,,
RYTIDOSPERMA NUDIFLORUM,18.933775,0.4,NA,3.575778,NA,NA,NA,NA,"leafN, height, SLA from austraits",,,,,
SALVIA COLUMBARIAE,35.3,0.4225,NA,13.226092,NA,NA,195.4645928,NA,"leafN, height, SLA, SRL from Kandlikar et al. 2022 Functional Ecol",,,,,
SALVIA PRATENSIS,19.3,0.520833333,NA,24.4875,2.1,,201.5307692,NA,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
SALVIA VERBENACA,NA,0.508333333,NA,11.94,NA,NA,NA,NA,"height, SLA from TRY",,,,,
