,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,X.1,X.2,X.3,X.4,X.5,X.6,local_lifespan,local_lifeform,functional_group
18435,cerrillos.ar,SIDA ARGENTINA,0,0,3.96,2.086666667,2.086666667,3.96,-1.873333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
18454,credom.au,SIDA INTRICATA,1,1,0,0,-1,-1,0,NA,0.15,NA,9.605365854,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,PERENNIAL,SHRUB,WOODY
18462,credoj.au,SIDA INTRICATA,1.25,11,0,0.5,-10.5,-1.25,-9.25,NA,0.15,NA,9.605365854,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,PERENNIAL,SHRUB,WOODY
18470,brokenh.au,SIDA PETROPHILA,0,0,1.166666667,1,1,1.166666667,-0.166666667,NA,1.322333333,NA,6.557280047,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,FORB,FORB
18477,jilpanger.au,SILOXERUS MULTIFLORUS,0.625,0.5,2,0,-0.5,1.375,-1.875,NA,0.033,NA,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
18492,scruzh.us,SISYRINCHIUM BELLUM,0,1.650742233,1.2195122,1.8340046,0.183262367,1.2195122,-1.036249833,17.68333333,0.154285714,NA,11.53419611,NA,0.101107003,118.754489,0.32952,118.754489,0.035354167,0.367217591,0.035354167,118.754489,"leafN, height, SLA from CoREE","RTD, SRL, diam from Justin","RTD fine, RMF from Aoyama 2023",SRL fine from Funk 2024,,,,PERENNIAL,FORB,FORB
18515,cedarsav.us,SISYRINCHIUM CAMPESTRE,1.5,1,0,0,-1,-1.5,0.5,12.11333333,0.231,NA,11.59588118,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA from TRY",,,,,,PERENNIAL,FORB,FORB
18519,marcdrt.ar,SISYRINCHIUM PLATENSE,1.5,4,1,0,-4,-0.5,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
18526,naposta.ar,SOLANUM aethiopicum,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
18532,sevmixed.us,SOLANUM ELAEAGNIFOLIUM,1.375,0.5,0.5,0.5,0,-0.875,0.875,NA,0.58325,NA,11.77367047,1.77,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,height from austraits,,,,,PERENNIAL,FORB,FORB
18540,brokenh.au,SOLANUM ELLIPTICUM,2,2,1,1,-1,-1,0,37.01758824,0.333333333,NA,5.182524555,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from austraits,,,,,,PERENNIAL,FORB,FORB
18549,passogavia.it,SOLDANELLA PUSILLA,16.7,20.6,10.08,13.6,-7,-6.62,-0.38,20.40547333,0.02,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from TRY,"leafN, SLA from Cerebolini 2010",,,,,,PERENNIAL,FORB,FORB
18599,brookdale.ca,SOLIDAGO CANADENSIS,27,30,2.4,2.9,-27.1,-24.6,-2.5,15.13338959,0.485,5.2,14.07665001,0.3048,0.085770833,17.1911586,0.486273328,NA,NA,0.31,0.085770833,17.1911586,"height, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x170","leafN, depth, RMF from TRY",diam from groot,rootN from Reader 1998,,,,PERENNIAL,FORB,FORB
18649,purdue.us,SOLIDAGO CANADENSIS,28.125,37.75,78.75,72.5,34.75,50.625,-15.875,15.13338959,0.485,5.2,14.07665001,0.3048,0.085770833,17.1911586,0.486273328,NA,NA,0.31,0.085770833,17.1911586,"height, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x170","leafN, depth, RMF from TRY",diam from groot,rootN from Reader 1999,,,,PERENNIAL,FORB,FORB
18693,esw.ca,SOLIDAGO CANADENSIS,68.33333333,60,50,27,-33,-18.33333333,-14.66666667,15.13338959,0.485,5.2,14.07665001,0.3048,0.085770833,17.1911586,0.486273328,NA,NA,0.31,0.085770833,17.1911586,"height, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x170","leafN, depth, RMF from TRY",diam from groot,rootN from Reader 2000,,,,PERENNIAL,FORB,FORB
18729,baddrt.de,SOLIDAGO CANADENSIS,4.25,0,0.2,0.15,0.15,-4.05,4.2,15.13338959,0.485,5.2,14.07665001,0.3048,0.085770833,17.1911586,0.486273328,NA,NA,0.31,0.085770833,17.1911586,"height, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x170","leafN, depth, RMF from TRY",diam from groot,rootN from Reader 2001,,,,PERENNIAL,FORB,FORB
18740,kernb.ca,SOLIDAGO MISSOURIENSIS,0.5,0,0.75,1,1,0.25,0.75,13.3335,0.576,5.2,12.52507393,0.2032,0.208174196,100.2127031,0.323716667,NA,0.269866647,NA,0.269866647,100.2127031,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x169","leafN, depth, RTD fine from TRY","RTD, SRL, diam from groot",,,,PERENNIAL,FORB,FORB
18753,cedartrait.us,SOLIDAGO NEMORALIS,10.14285714,12,10,7,-5,-0.14285714,-4.85714286,15.47778333,0.57,5.2,12.76442277,0.3048,0.129791058,208.2087011,0.369872222,NA,0.17795925,0.270183504,0.17795925,208.2087011,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, depth, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,PERENNIAL,FORB,FORB
18801,brookdale.ca,SOLIDAGO RIGIDA,5,5,2.5,1.5,-3.5,-2.5,-1,14.59,0.598,5.2,10.23214847,0.3048,0.212780118,35.33592984,0.34,33,0.215521046,0.482373411,0.215521046,35.33592984,"leafN, height, SLA from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","depth, RTD fine from TRY","rootN, RTD, SRL, RMF from groot",SRL fine from Tjoelker 2005,diam from Craine 2002,,,PERENNIAL,FORB,FORB
18815,cedartrait.us,SOLIDAGO RIGIDA,12.33333333,9,20,9,0,7.66666667,-7.66666667,14.59,0.598,5.2,10.23214847,0.3048,0.212780118,35.33592984,0.34,33,0.215521046,0.482373411,0.215521046,35.33592984,"leafN, height, SLA from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","depth, RTD fine from TRY","rootN, RTD, SRL, RMF from groot",SRL fine from Tjoelker 2005,diam from Craine 2002,,,PERENNIAL,FORB,FORB
18834,purdue.us,SOLIDAGO SPECIOSA,19,11,5,0,-11,-14,3,18.11833333,NA,8.9032965,8.834,NA,0.19,57,0.38,68,0.19,NA,0.19,57,"rootN, RTD, SRL, diam from groot",SLA from Craine 2001,leafN from CoREE,RTD fine from TRY,SRL fine from Tjoelker 2005,,,PERENNIAL,FORB,FORB
18846,kernb.ca,SONCHUS ARVENSIS,1.5,0.833333333,1,1.25,0.416666667,-0.5,0.916666667,16.29,0.186333333,NA,21,0.56,0.219369331,40.21512983,NA,40.22,0.22,0.433333333,0.219369331,40.21512983,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x171",SLA from TRY,RMF from groot,depth from Tumber-Davila 2022,leafN from CoREE,"SRL fine, RTD fine from Stiblikova",,PERENNIAL,FORB,FORB
18864,kernnu.ca,SONCHUS ARVENSIS,1.166666667,2,14,7.166666667,5.166666667,12.83333333,-7.666666666,16.29,0.186333333,NA,21,0.56,0.219369331,40.21512983,NA,40.22,0.22,0.433333333,0.219369331,40.21512983,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x171",SLA from TRY,RMF from groot,depth from Tumber-Davila 2022,leafN from CoREE,"SRL fine, RTD fine from Stiblikova",,PERENNIAL,FORB,FORB
18886,esw.ca,SONCHUS ARVENSIS,5,4,3,2,-2,-2,0,16.29,0.186333333,NA,21,0.56,0.219369331,40.21512983,NA,40.22,0.22,0.433333333,0.219369331,40.21512983,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x171",SLA from TRY,RMF from groot,depth from Tumber-Davila 2022,leafN from CoREE,"SRL fine, RTD fine from Stiblikova",,PERENNIAL,FORB,FORB
18907,brookdale.ca,SONCHUS ARVENSIS,0,0,1.55,1.95,1.95,1.55,0.4,16.29,0.186333333,NA,21,0.56,0.219369331,40.21512983,NA,40.22,0.22,0.433333333,0.219369331,40.21512983,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x171",SLA from TRY,RMF from groot,depth from Tumber-Davila 2022,leafN from CoREE,"SRL fine, RTD fine from Stiblikova",,PERENNIAL,FORB,FORB
18936,esw.ca,SONCHUS ASPER,3,1,0,0,-1,-3,2,6.149556667,0.5875,NA,23.44168774,0.723333333,0.301036269,223.2180487,0.1419,NA,NA,0.507102498,0.301036269,223.2180487,"height, SLA from TRY","RTD, SRL, diam, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,ANNUAL,FORB,FORB
18938,baddrt.de,SONCHUS ASPER,2,2.125,0.35,1,-1.125,-1.65,0.525,6.149556667,0.5875,NA,23.44168774,0.723333333,0.301036269,223.2180487,0.1419,NA,NA,0.507102498,0.301036269,223.2180487,"height, SLA from TRY","RTD, SRL, diam, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,ANNUAL,FORB,FORB
18955,brookdale.ca,SONCHUS ASPER,12.33333333,12.5,0,0,-12.5,-12.33333333,-0.16666667,6.149556667,0.5875,NA,23.44168774,0.723333333,0.301036269,223.2180487,0.1419,NA,NA,0.507102498,0.301036269,223.2180487,"height, SLA from TRY","RTD, SRL, diam, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,ANNUAL,FORB,FORB
18975,scruzl.us,SONCHUS ASPER,0,0,2.0408163,14.54787123,14.54787123,2.0408163,12.50705493,6.149556667,0.5875,NA,23.44168774,0.723333333,0.301036269,223.2180487,0.1419,NA,NA,0.507102498,0.301036269,223.2180487,"height, SLA from TRY","RTD, SRL, diam, RMF from groot",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,ANNUAL,FORB,FORB
19003,baddrt.de,SONCHUS OLERACEUS,0,0,0.3275,0.1,0.1,0.3275,-0.2275,34.9,1.1328125,8.73588941,37.55404122,0.755,NA,76.97,NA,NA,0.21655387,NA,0.21655387,NA,"leafN, height, SLA from TRY",SRL from austraits,depth from Tumber-Davila 2022,"rooN, RTD fine from Ning 2022",,,,ANNUAL,FORB,FORB
19008,lygraold.no,SORBUS AUCUPARIA,1,1,0,2,1,-1,2,22.42468397,12.84846655,10.49866006,17.31445092,0.7112,NA,NA,1.3965,5.449818182,0.499096607,0.095609308,0.499096607,5.449818182,"leafN, height, SLA, depth, SRL fine from TRY","rootN, diam, RMF from groot",RTD fine Weemstra 2021,,,,,PERENNIAL,TREE,WOODY
19013,konzadrt.us,SORGHASTRUM NUTANS,11.5,5.333333333,6,8.25,2.916666667,-5.5,8.416666667,9,0.263333334,12.414309,29.61,0.6096,0.242752216,106.1696388,0.5351,NA,0.244891,0.445328557,0.244891,106.1696388,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, RTD fine from TRY","rootN, RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
19039,cedartrait.us,SORGHASTRUM NUTANS,6.6,7.5,15,2,-5.5,8.4,-13.9,9,0.263333334,12.414309,29.61,0.6096,0.242752216,106.1696388,0.5351,NA,0.244891,0.445328557,0.244891,106.1696388,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, RTD fine from TRY","rootN, RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
19057,cedarsav.us,SORGHASTRUM NUTANS,23.5,17.2,12.5,25,7.8,-11,18.8,9,0.263333334,12.414309,29.61,0.6096,0.242752216,106.1696388,0.5351,NA,0.244891,0.445328557,0.244891,106.1696388,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, RTD fine from TRY","rootN, RTD, SRL, RMF from groot",,,,,PERENNIAL,GRASS,GRASS
19094,sclaudio.ar,SORGHUM HALEPENSE,5.333333333,5.833333333,10,15.25,9.416666667,4.666666667,4.75,18.8152,1.3834,NA,17.98889051,0.254,NA,NA,NA,NA,NA,0.31125,NA,NA,leafN from Nippert and Donnelly Konza,"height, SLA, depth from TRY",RMF from groot,,,,,PERENNIAL,GRASS,GRASS
19137,marcdrt.ar,SPARTINA DENSIFLORA,18.75,18,15,23,5,-3.75,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRASS,GRASS
19192,ukulingadrt.za,SPERMACOCE NATALENSIS,1,0,14,5,5,13,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
19199,cdpt_drt.us,SPHAERALCEA COCCINEA,0.666666667,0.9,1,1.9,1,0.333333333,0.666666667,28.09,0.075,8.966666667,12.61454363,0.1524,0.958527405,15.44302838,0.3163,NA,0.312666667,NA,0.312666667,15.44302838,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x172","depth, RTD fine from TRY",diam from groot,leafN from Blumenthal 2020,,,PERENNIAL,FORB,FORB
19218,nplatte.us,SPHAERALCEA COCCINEA,2,2,2,0,-2,0,-2,28.09,0.075,8.966666667,12.61454363,0.1524,0.958527405,15.44302838,0.3163,NA,0.312666667,NA,0.312666667,15.44302838,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x172","depth, RTD fine from TRY",diam from groot,leafN from Blumenthal 2020,,,PERENNIAL,FORB,FORB
19237,sevblue.us,SPHAERALCEA HASTULATA,0,0.5,2,0,-0.5,2,-2.5,NA,NA,NA,14.04606421,2.5,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,,,,,,PERENNIAL,FORB,FORB
19239,konzadrt.us,SPOROBOLUS COMPOSITUS,14.8,17.2,0,0,-17.2,-14.8,-2.4,8.2,0.496495098,NA,9.50769231,1.016,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, SLA from OKLA PI",depth from groot,height from CoREE,,,,,PERENNIAL,GRASS,GRASS
19270,cdpt_drt.us,SPOROBOLUS CRYPTANDRUS,7,1,3,1.125,0.125,-4,4.125,17.56,0.352,27.8335825,23.90754717,0.4572,0.476,22.63833333,0.219983333,56.44736622,0.580593484,0.324,0.476,22.63833333,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","SLA, depth from TRY","rootN, RTD, SRL, RMF from groot","diam, SRL fine, RTD fine from Mueller 2024",,,,PERENNIAL,GRASS,GRASS
19286,jorndrt.us,SPOROBOLUS FLEXUOSUS,1,0,1.65,12,12,0.65,11.35,NA,0.9144,NA,15.81345753,0.254,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, depth from TRY",,,,,,PERENNIAL,GRASS,GRASS
19295,spvdrt.ar,SPOROBOLUS RIGENS,1,3,5.666666667,16,13,4.666666667,8.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRASS,GRASS
19332,elvadrt.ee,STELLARIA GRAMINEA,1.5,2,1,1,-1,-0.5,-0.5,28.561766,0.4416,NA,30.84892921,0.34,0.337078652,251.0337458,0.135266667,NA,NA,0.461407166,0.337078652,251.0337458,"leafN, height, SLA from Teshio PI","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,FORB,FORB
19359,teshio.jp,STELLARIA GRAMINEA,1.75,2,3.666666667,4.75,2.75,1.916666667,0.833333333,28.561766,0.4416,NA,30.84892921,0.34,0.337078652,251.0337458,0.135266667,NA,NA,0.461407166,0.337078652,251.0337458,"leafN, height, SLA from Teshio PI","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,,PERENNIAL,FORB,FORB
19377,marcdrt.ar,STENOTAPHRUM SECUNDATUM,3,2,1.5,2,0,-1.5,1.5,NA,0.27432,NA,23,0.3048,NA,NA,0.1855714,NA,NA,NA,NA,NA,"height, depth from TRY",SLA from Cruz 2019,diam from Jardine 2021,,,,,PERENNIAL,GRASS,GRASS
19404,naposta.ar,STIPA CAUDATA,10,10,0,0,-10,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRASS,GRASS
19406,biddulph.ca,STIPA COMATA,3.5,5.5,12.5,14.5,9,9,0,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,NA,0.33136934,0.4745,0.33136934,79.18825345,"leafN, height, rootN, SLA, depth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,,PERENNIAL,GRAMINOID,GRASS
19432,kernb.ca,STIPA CURTISETA,6.5,0.5,2.333333333,1,0.5,-4.166666667,4.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRAMINOID,GRASS
19462,kernnu.ca,STIPA CURTISETA,3.166666667,2.833333333,1,6,3.166666667,-2.166666667,5.333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRAMINOID,GRASS
19489,credom.au,STIPA NITIDA,0.75,5.5,0.5,4.125,-1.375,-0.25,-1.125,NA,0.8,NA,9.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from Carmona 2021",,,,,,,PERENNIAL,GRASS,GRASS
19518,credoj.au,STIPA NITIDA,0.5,6.833333333,0.5,8.5,1.666666667,0,1.666666667,NA,0.8,NA,9.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from Carmona 2021",,,,,,,PERENNIAL,GRASS,GRASS
19533,kiskun.hu,STIPA PENNATA,9.6,8.8,8.4,6.2,-2.6,-1.2,-1.4,13.2,0.475,10.1,16.05136437,0.806,0.238540863,45.88074833,0.4617094,18.99,0.198761949,NA,0.198761949,45.88074833,"leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam from groot",height from Carmona 2021,SRL fine from Mackay 2019,diam from Fort 2017,,,PERENNIAL,GRASS,GRASS
19563,scruzh.us,STIPA PULCHRA,35.45813537,41.73103135,27.69133725,8.2963652,-33.43466615,-7.76679812,-25.66786803,16.6,1.193,NA,11.24203438,NA,0.01859375,132.7,0.356625,18.92276649,0.082069493,0.53,0.082069493,18.92276649,"leafN, height, SLA, SRL fine from Kandlikar 2022","RTD, SRL, diam from Justin","RTD fine, RMF from Funk 2024",,,,,PERENNIAL,FORB,GRASS
19589,cobar.au,STIPA SCABRA,4,1,3.5,12,11,-0.5,11.5,NA,0.8,NA,13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from Carmona 2021",,,,,,,PERENNIAL,GRASS,GRASS
19596,cedarsav.us,STIPA SPARTEA,3.666666667,3.5,15,0,-3.5,11.33333333,-14.83333333,14.01546154,0.576,18,8.74965934,0.254,0.393143677,61.25734351,0.2496,NA,0.403650758,NA,0.403650758,61.25734351,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, rootN, SLA, depth, RTD fine from TRY","RTD, SRL, diam from groot",,,,,PERENNIAL,GRASS,GRASS
19622,paike.ar,STIPA SPECIOSA,21.33333333,27,21.66666667,27,0,0.33333334,-0.33333334,12.13,0.169,7.94,15.44,0.352,0.001942,22.41,0.352,NA,NA,NA,NA,NA,"leafN, height, rootN, SLA, depth, RTD, SRL.all root.Diam from Potrok_Aike PI",,,,,,,PERENNIAL,GRASS,GRASS
19658,jilpanger.au,STIPA VAGINATA,0.5,0.5,0.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,GRASS,GRASS
19667,gmmolar.us,STYLOCLINE PSILOCARPHOIDES,0.5,0.5,0,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
19670,cowidrt.ca,SYMPHORICARPOS ALBUS,16.25,11,10.5,7.8,-3.2,-5.75,2.55,14.05,1.538133333,NA,19.90333333,0.4572,NA,NA,NA,NA,NA,0.455,NA,NA,"leafN, height, SLA, depth from TRY",RMF from groot,,,,,,PERENNIAL,SHRUB,WOODY
19709,brookdale.ca,SYMPHORICARPOS ALBUS,0,0,2.55,1.85,1.85,2.55,-0.7,14.05,1.538133333,NA,19.90333333,0.4572,NA,NA,NA,NA,NA,0.455,NA,NA,"leafN, height, SLA, depth from TRY",RMF from groot,,,,,,PERENNIAL,SHRUB,WOODY
19729,brookdale.ca,SYMPHORICARPOS OCCIDENTALIS,17.5,13,0,0,-13,-17.5,4.5,16.7,0.549285714,6.3,10.49876226,0.4572,0.467366456,8.049888555,0.302883333,NA,0.337326723,NA,0.337326723,8.049888555,"height, rootN,SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x173","depth, RTD fine from TRY",diam from groot,leafN from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x173,,,,PERENNIAL,SHRUB,FORB
19759,kernb.ca,SYMPHYOTRICHUM ERICOIDES,2,0.5,5,2,1.5,3,-1.5,12.6,0.415652174,11.01821,21.0716,0.76,0.151923077,73.83666667,0.3263,NA,0.151923077,NA,0.151923077,73.83666667,"leafN, SLA from OKLAH PI","rootN, depth, RTD, SRL, diam from groot",height from CoREE,RDA fine from TRY,,,,PERENNIAL,FORB,FORB
19776,matador.ca,SYMPHYOTRICHUM ERICOIDES,1,1,1,1,0,0,0,12.6,0.415652174,11.01821,21.0716,0.76,0.151923077,73.83666667,0.3263,NA,0.151923077,NA,0.151923077,73.83666667,"leafN, SLA from OKLAH PI","rootN, depth, RTD, SRL, diam from groot",height from CoREE,RDA fine from TRY,,,,PERENNIAL,FORB,FORB
19799,mattheis.ca,SYMPHYOTRICHUM ERICOIDES,1,1.5,15,0,-1.5,14,-15.5,12.6,0.415652174,11.01821,21.0716,0.76,0.151923077,73.83666667,0.3263,NA,0.151923077,NA,0.151923077,73.83666667,"leafN, SLA from OKLAH PI","rootN, depth, RTD, SRL, diam from groot",height from CoREE,RDA fine from TRY,,,,PERENNIAL,FORB,FORB
19809,konzadrt.us,SYMPHYOTRICHUM ERICOIDES,43,29.6,36.6,35,5.4,-6.4,11.8,12.6,0.415652174,11.01821,21.0716,0.76,0.151923077,73.83666667,0.3263,NA,0.151923077,NA,0.151923077,73.83666667,"leafN, SLA from OKLAH PI","rootN, depth, RTD, SRL, diam from groot",height from CoREE,RDA fine from TRY,,,,PERENNIAL,FORB,FORB
19867,brookdale.ca,SYMPHYOTRICHUM ERICOIDES,0,0,4,1.25,1.25,4,-2.75,12.6,0.415652174,11.01821,21.0716,0.76,0.151923077,73.83666667,0.3263,NA,0.151923077,NA,0.151923077,73.83666667,"leafN, SLA from OKLAH PI","rootN, depth, RTD, SRL, diam from groot",height from CoREE,RDA fine from TRY,,,,PERENNIAL,FORB,FORB
19888,hard.us,SYMPHYOTRICHUM ERICOIDES,0,0,2,9.333333333,9.333333333,2,7.333333333,12.6,0.415652174,11.01821,21.0716,0.76,0.151923077,73.83666667,0.3263,NA,0.151923077,NA,0.151923077,73.83666667,"leafN, SLA from OKLAH PI","rootN, depth, RTD, SRL, diam from groot",height from CoREE,RDA fine from TRY,,,,PERENNIAL,FORB,FORB
19913,esw.ca,SYMPHYOTRICHUM LANCEOLATUM,12.5,8,3,1,-7,-9.5,2.5,11.82,1.8288,NA,14.79014473,0.2032,NA,68,NA,NA,0.15,NA,0.15,NA,"height, depth, RTD fine from TRY",leafN from Craine 2012,"SLA, SRL from CoREE",,,,,PERENNIAL,FORB,FORB
