,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,,,,,,
631,cerrillos.ar,PROSOPIS TORQUATA,3.75,4.38,3.75,0,-4.38,0,-4.38,,,,19.17539258,,,,,,,,,,SLA from TRY,,,,,,
705,allmendo.ch,PRUNELLA VULGARIS,5.75,6.25,7.916666667,4.166666667,-2.083333333,2.166666667,-4.25,16.811555,0.250255556,5.87871,23.15800111,0.254,0.105496279,223.0600732,0.294300536,,0.161917314,0.335769284,0.161917314,223.0600732,"leafN, height, rootN, SLA, depth, RMF fine from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
759,allmendb.ch,PRUNELLA VULGARIS,13.58333333,9.166666667,17.83333333,14.08333333,4.916666663,4.25,0.666666663,16.811555,0.250255556,5.87871,23.15800111,0.254,0.105496279,223.0600732,0.294300536,,0.161917314,0.335769284,0.161917314,223.0600732,"leafN, height, rootN, SLA, depth, RMF fine from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
1035,rhijn.nl,PRUNELLA VULGARIS,1,0,1.5,2,2,0.5,1.5,16.811555,0.250255556,5.87871,23.15800111,0.254,0.105496279,223.0600732,0.294300536,,0.161917314,0.335769284,0.161917314,223.0600732,"leafN, height, rootN, SLA, depth, RMF fine from TRY","depth, RTD, SRL, diam, RMF from groot",,,,,
895,hard.us,PSEUDOROEGNERIA SPICATA,25,34.375,9,1,-33.375,-16,-17.375,16.8,0.4121,,9.74,1.413333333,,,0.237714286,,,,,,diam from groot,depth from Tumber-Davila 2022,"leafN, height, SLA from Tortorelli 2022",,,,
324,lygraold.no,PSEUDOSCLEROPODIUM PURUM,1,1,0,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,
473,biddulph.ca,PSORALEA LANCEOLATA,1.5,2,6.5,11,9,5,4,,,,,2.135,,,,,,,,,depth from groot,,,,,,
773,cdpt_drt.us,PSORALIDIUM TENUIFLORUM,0.3,10.2,1.666666667,6.366666667,-3.833333333,1.366666667,-5.2,24.3,0.056,26.25,16.82,2.598333333,0.426284493,34.26262715,0.66942,57.86048292,0.12544757,0.827467108,0.426284493,34.26262715,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","RTD, SRL, RMF from groot",depth from Tumber-Davila 2022,"rootN, SRL fine, RTD fine from Mueller 2024",,,
1089,konzadrt.us,PSORALIDIUM TENUIFLORUM,0,0,10.02,14.8,14.8,10.02,4.78,24.3,0.056,26.25,16.82,2.598333333,0.426284493,34.26262715,0.66942,57.86048292,0.12544757,0.827467108,0.426284493,34.26262715,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","RTD, SRL, RMF from groot",depth from Tumber-Davila 2022,"rootN, SRL fine, RTD fine from Mueller 2024",,,
812,sand.us,PTERIDIUM AQUILINUM,23.33333333,14,21.33333333,4.5,-9.5,-2,-7.5,21.68333333,1.99667,9.852689835,16.50649574,0.254,0.184848485,53.87484386,0.2511,,,,0.184848485,53.87484386,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam from groot",,,,,
279,cobar.au,PTILOTUS ATRIPLICIFOLIUS,3,1,8.25,1.5,0.5,5.25,-4.75,,0.8666,,,,,,,,,,,,height from austraits,,,,,,
198,credom.au,PTILOTUS OBOVATUS,0.5,0.75,0.5,1.25,0.5,0,0.5,26.89403504,0.566666667,,7.440821539,,,,,,,,,,"height, SLA from TRY",leafN from austraits,,,,,
230,credoj.au,PTILOTUS OBOVATUS,1.5,1,2.25,0.75,-0.25,0.75,-1,26.89403504,0.566666667,,7.440821539,,,,,,,,,,"height, SLA from TRY",leafN from austraits,,,,,
526,ethadb.au,PTILOTUS POLYSTACHYUS,2,2.5,0,21,18.5,-2,20.5,23.98,1,,9.6,,,37,,,,,,,"height, SLA from TRY","leafN, SRL from austraits",,,,,
632,cowidrt.ca,QUERCUS GARRYANA,3.5,4.5,3,4,-0.5,-0.5,0,16.6,20.501,,8.474576271,1.0668,,,,,,,,,"height, depth from TRY",leafN from Davis_2005,SLA from Forn 2023,,,,
820,cedarsav.us,QUERCUS MACROCARPA,10,15,6,15,0,-4,4,22.33361905,19.05,10.65875833,18.36064797,0.7112,,63.21181567,0.28756,52,,0.501666667,,63.21181567,"leafN, height, SLA, depth from TRY","rootN, SRL, diam, RMF from groot",SRL fine Tjoelker 2005,,,,
55,jilpanger.au,QUINETIA URVILLEI,0.5,0.5,0.5,0.5,0,0,0,,0.104387128,,28.71151127,,,,,,,,,,"height, SLA from austraits",,,,,,
167,nnss.us,RAFINESQUIA NEOMEXICANA,0.1346801,0.50410455,0,0,-0.50410455,-0.1346801,-0.36942445,,,,,,,,,,,,,,,,,,,,
427,elvadrt.ee,RANUNCULUS ACRIS,4.333333333,1.666666667,2,2,0.333333333,-2.333333333,2.666666666,24.40250649,0.26,8.85,22.85689329,0.44,0.215759509,79.42699605,0.35099,,,0.652478955,0.215759509,79.42699605,"height, rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x159","leafN, SLA from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,
461,rhijn.nl,RANUNCULUS ACRIS,2.6,2,3,3,1,0.4,0.6,24.40250649,0.26,8.85,22.85689329,0.44,0.215759509,79.42699605,0.35099,,,0.652478955,0.215759509,79.42699605,"height, rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x159","leafN, SLA from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,
286,cowidrt.ca,RANUNCULUS OCCIDENTALIS,1,1,2,2,1,1,0,18.8,,,,,,,,,,,,,leafN from Carmona 2021,,,,,,
465,teshio.jp,RANUNCULUS REPENS,5,2,7,5,3,2,1,30.80309083,0.243333333,9.982096286,23.70182726,0.1524,0.133080484,217.6519817,0.412452083,,,0.400038348,0.133080484,217.6519817,"leafN, height, SLA from Teshio PI",depth from TRY,"rootN, RTD, SRL, diam, RMF from groot",,,,
80,jilpanger.au,RANUNCULUS ROBERTSONII,0,0.5,0.5,0.5,0,0.5,-0.5,,0.1,,,,,,,,,,,,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",,,,,,
642,scruzm.us,RAPHANUS SATIVUS,1.17663345,4.9528809,7.44020726,20.57703828,15.62415738,6.26357381,9.36058357,,0.715,14.825,32.80166667,1.566666667,,13.78934449,0.3,161.9,0.087,0.567777778,0.087,161.9,"height, SLA from TRY","rootN, RMF from groot",depth from Tumber-Davila 2022,"diam, SRL fine RTD fine from Mackay 2019",SRL by Aoyama 2023,,
678,scruzl.us,RAPHANUS SATIVUS,3.5,5.6,34.96364396,61.0981501,55.4981501,31.46364396,24.03450614,,0.715,14.825,32.80166667,1.566666667,,13.78934449,0.3,161.9,0.087,0.567777778,0.087,161.9,"height, SLA from TRY","rootN, RMF from groot",depth from Tumber-Davila 2022,"diam, SRL fine RTD fine from Mackay 2019",SRL by Aoyama 2023,,
227,matador.ca,RATIBIDA COLUMNIFERA,0.75,1,0,0.5,-0.5,-0.75,0.25,17.595,0.395,,22.85,0.3556,,,0.660475,,,,,,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",depth from TRY,leafN from Craine 2012,,,,
591,allmendo.ch,RHINANTHUS MINOR,2.333333333,3.416666667,1.083333333,0.833333333,-2.583333334,-1.25,-1.333333334,34.3558401,0.395833333,11.53,19.63316458,0.08,,,,,,,,,"leafN, height, SLA from TRY",depth from Tumber-Davila 2022,rootN from Salpagarova 2014,,,,
664,allmendb.ch,RHINANTHUS MINOR,6.666666667,5.083333333,0.416666667,2,-3.083333333,-6.25,3.166666667,34.3558401,0.395833333,11.53,19.63316458,0.08,,,,,,,,,"leafN, height, SLA from TRY",depth from Tumber-Davila 2022,rootN from Salpagarova 2014,,,,
476,cobar.au,RHODANTHE FLORIBUNDA,1,2,0,0,-2,-1,-1,,0.25,,24.57445233,,,,,,,,,,"height, SLA from TRY",,,,,,
661,quilpie.au,RHODANTHE FLORIBUNDA,1,5,0,0,-5,-1,-4,,0.25,,24.57445233,,,,,,,,,,"height, SLA from TRY",,,,,,
714,milparinka.au,RHODANTHE FLORIBUNDA,4.666666667,6.666666667,0,0,-6.666666667,-4.666666667,-2,,0.25,,24.57445233,,,,,,,,,,"height, SLA from TRY",,,,,,
485,cobar.au,RHODANTHE PYGMAEA,3,2,0,0,-2,-3,1,,0.046317497,,42.57799953,,,,,,,,,,"height, SLA from austraits",,,,,,
605,brokenh.au,RHODANTHE PYGMAEA,2.666666667,3.666666667,0,0,-3.666666667,-2.666666667,-1,,0.046317497,,42.57799953,,,,,,,,,,"height, SLA from austraits",,,,,,
460,lygraold.no,RHYTIDIADELPHUS LOREUS,2,2,4,3,1,2,-1,,,,,,,,,,,,,,,,,,,,
679,lygraint.no,RHYTIDIADELPHUS LOREUS,2,5.666666667,1,1,-4.666666667,-1,-3.666666667,,,,,,,,,,,,,,,,,,,,
370,lygraint.no,RHYTIDIADELPHUS SQUARROSUS,4,1.333333333,1.5,2,0.666666667,-2.5,3.166666667,,,,,,,,,,,,,,,,,,,,
424,lygraold.no,RHYTIDIADELPHUS SQUARROSUS,2,1.666666667,1,1,-0.666666667,-1,0.333333333,,,,,,,,,,,,,,,,,,,,
56,jilpanger.au,ROMULEA ROSEA,0.5,0.5,0.5,0.5,0,0,0,,0.265157499,,10.313611,,,,,,,,,,"height, SLA from austraits",,,,,,
745,brookdale.ca,ROSA ACICULARIS,8.666666667,8.5,1.516666667,1.566666667,-6.933333333,-7.15,0.216666667,10.65,0.24,8.371428571,13.82021754,0.1524,0.108244816,138.3891933,0.2912,,,,0.108244816,138.3891933,"height, rootN,SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x162","leafN, depth from TRY",diam from groot,,,,
264,biddulph.ca,ROSA ARKANSANA,3,1,8,1,0,5,-5,17.3145,0.292,6.833333333,10.90830461,6.4516,0.218876953,6.20547896,0.30555,,0.421153994,,0.421153994,6.20547896,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x163","leafN, RTD fine from TRY","depth, diam from groot",,,
524,kernb.ca,ROSA ARKANSANA,0.75,2.5,1,5.666666667,3.166666667,0.25,2.916666667,17.3145,0.292,6.833333333,10.90830461,6.4516,0.218876953,6.20547896,0.30555,,0.421153994,,0.421153994,6.20547896,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x163","leafN, RTD fine from TRY","depth, diam from groot",,,
525,kernnu.ca,ROSA ARKANSANA,1,2.5,1,9.25,6.75,0,6.75,17.3145,0.292,6.833333333,10.90830461,6.4516,0.218876953,6.20547896,0.30555,,0.421153994,,0.421153994,6.20547896,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x163","leafN, RTD fine from TRY","depth, diam from groot",,,
554,cedarsav.us,ROSA ARKANSANA,1,3,0,3,0,-1,1,17.3145,0.292,6.833333333,10.90830461,6.4516,0.218876953,6.20547896,0.30555,,0.421153994,,0.421153994,6.20547896,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x163","leafN, RTD fine from TRY","depth, diam from groot",,,
787,cedartrait.us,ROSA ARKANSANA,9,11,12,15,4,3,1,17.3145,0.292,6.833333333,10.90830461,6.4516,0.218876953,6.20547896,0.30555,,0.421153994,,0.421153994,6.20547896,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x163","leafN, RTD fine from TRY","depth, diam from groot",,,
839,ebro.es,ROSMARINUS OFFICINALIS,24.42157667,17.94057222,24.49804518,19.75746422,1.816892,0.07646851,1.74042349,17.36017623,1,,11.53829006,0.35,0.534580651,11.79132349,0.424333333,12.781,0.563,0.268902748,0.534580651,11.79132349,"RTD, SRL, diam, RMF from groot",height from austraits,depth from Tumber-Davila 2022,"leafN, SLA from Carmona 2021","SRL fine, RTD fine from de la Riva 2021",,
482,purdue.us,RUDBECKIA HIRTA,2,2,0,0,-2,-2,0,28.33854,0.48345,21.64598,20.28284683,0.254,0.14325585,119.2626432,0.2691575,,0.134249,0.287233853,0.134249,119.2626432,"leafN, height, SLA, depth, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,
1040,konzadrt.us,RUELLIA HUMILIS,0,0,1,2,2,1,1,21.185,0.502906667,,12.07550636,0.1016,0.40803047,18.40109592,0.435330769,19.06,0.413307,0.340371153,0.413307,18.40109592,"height, SLA, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",leafN from Craine 2012,SRL fine from Tucker 2010,,,
236,elvadrt.ee,RUMEX ACETOSA,1,1,1,1,0,0,0,40.4730773,0.63555,9.226533422,27.38613324,0.9,0.252258472,161.1286432,0.240291458,,,0.799502812,0.252258472,161.1286432,0.240291458,"rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
1025,rhijn.nl,RUMEX ACETOSA,1,0,1.25,1.5,1.5,0.25,1.25,40.4730773,0.63555,9.226533422,27.38613324,0.9,0.252258472,161.1286432,0.240291458,,,0.799502812,0.252258472,161.1286432,0.240291458,"rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
195,falls.au,RUMEX ACETOSELLA,0.583333333,0.75,0.833333333,0.75,0,0.25,-0.25,11.61,0.235714286,18.76112,30.32394073,0.902,0.166783945,69.76965918,0.262467915,,0.147587959,0.370900975,0.147587959,69.76965918,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA, RTD fine from TRY","RTD, SRL, diam, RMF from groot","depth, diam from groot",,,
963,baddrt.de,RUMEX CRISPUS,7,0,5,0.5,0.5,-2,2.5,28.64619072,0.671,3.807,27.4215048,2.915,0.469710744,19.1115862,0.17924,10.56194309,,0.500519027,0.469710744,10.56194309,"rootN,RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x166","leafN, rootN, SLA, SRL fine from TRY","diam, RMF from groot",depth from Tumber-Davila 2022,,,
72,credom.au,RYTIDOSPERMA CAESPITOSUM,0.75,0.5,0.625,0.5,0,-0.125,0.125,,0.55,,5.660402334,0.66,,168.7,0.271,,,0.293839227,,168.7,"height, SLA from TRY","depth, SRL, diam, RMF from groot",,,,,
189,credoj.au,RYTIDOSPERMA CAESPITOSUM,1,0.7,1.125,2.333333333,1.633333333,0.125,1.508333333,,0.55,,5.660402334,0.66,,168.7,0.271,,,0.293839227,,168.7,"height, SLA from TRY","depth, SRL, diam, RMF from groot",,,,,
633,paike.ar,RYTIDOSPERMA VIRESCENS,2.5,4.5,3.5,4.5,0,1,-1,,,,,,,,,,,,,,,,,,,,
215,passogavia.it,SALIX HERBACEA,1.403333333,0.9,0.703333333,0.55,-0.35,-0.7,0.35,23.22611667,0.034166667,10.25,20.3472918,,,,1.2,102.7286759,,,,102.7286759,"leafN, height, rootN, SLA from TRY",diam from Pohl 2011,Spitzer 2023,,,,
875,hoide.de,SALIX REPENS,1,25,1,15,-10,0,-10,17.00382579,0.812,5.44,13.95288786,0.2303,,,,,,,,,"leafN, height, SLA from TRY",rootN from groot,depth from Tumber-Davila 2022,,,,
2,kiskun.hu,SALSOLA KALI,0.01,0.01,0,0,-0.01,-0.01,0,28.96571925,0.361793831,7.39,10.84692732,1.38,,19.34,,,,,,19.34,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","rootN, depth, SRL from groot","leafN, height from Carmona 2021",,,,
701,sevblack.us,SALSOLA KALI,0,6.25,4.05,0.65,-5.6,4.05,-9.65,28.96571925,0.361793831,7.39,10.84692732,1.38,,19.34,,,,,,19.34,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","rootN, depth, SRL from groot","leafN, height from Carmona 2021",,,,
139,gmmolar.us,SALVIA COLUMBARIAE,0.5,0.5,0,0,-0.5,-0.5,0,35.3,0.4225,,13.226092,,,,0.40084,195.4645928,0.041752684,0.56,0.041752684,195.4645928,"leafN, height, SLA, SRL fine from Kandlikar 2022","diam, RTD fine, RMF from Funk 2024",,,,,
513,allmendb.ch,SALVIA PRATENSIS,1.5,2.375,1.125,3.25,0.875,-0.375,1.25,19.3,0.520833333,,27.025,2.1,,,,,,0.265,,,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,
532,allmendo.ch,SALVIA PRATENSIS,0,2.625,0.5,3.875,1.25,0.5,0.75,19.3,0.520833333,,27.025,2.1,,,,,,0.265,,,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,
205,credoj.au,SALVIA VERBENACA,2.2,0.8,0.6,0.5,-0.3,-1.6,1.3,,0.508333333,,11.94,,,,,,,,,,"height, SLA from TRY",,,,,,
419,credom.au,SALVIA VERBENACA,0.7,1.6,1.4,0.8,-0.8,0.7,-1.5,,0.508333333,,11.94,,,,,,,,,,"height, SLA from TRY",,,,,,
698,allmendb.ch,SANGUISORBA MINOR,4.5,6.083333333,2.666666667,2.5,-3.583333333,-1.833333333,-1.75,19.82857143,0.340136667,13.0925861,18.63307157,0.3048,0.290931094,118.7237432,0.4611271,,0.280697821,0.348772897,0.280697821,118.7237432,"leafN, height, SLA, depth, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,
657,cowidrt.ca,SANICULA CRASSICAULIS,2.333333333,5,2.5,7.333333333,2.333333333,0.166666667,2.166666666,,,,,,,,,,,,,,,,,,,,
281,allmendo.ch,SCABIOSA COLUMBARIA,0.416666667,1,0.25,1.625,0.625,-0.166666667,0.791666667,21.2,0.594444444,,19.09599561,0.9,0.347953216,120.2294669,0.181166667,,,0.664804469,0.347953216,120.2294669,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
390,allmendb.ch,SCABIOSA COLUMBARIA,1.333333333,1.5,2.583333333,1,-0.5,1.25,-1.75,21.2,0.594444444,,19.09599561,0.9,0.347953216,120.2294669,0.181166667,,,0.664804469,0.347953216,120.2294669,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
557,ukulingadrt.za,SCABIOSA COLUMBARIA,3,3,0,3.75,0.75,-3,3.75,21.2,0.594444444,,19.09599561,0.9,0.347953216,120.2294669,0.181166667,,,0.664804469,0.347953216,120.2294669,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
408,chacra.ar,SCHINUS JOHNSTONII,1.5,1.5,1,0,-1.5,-0.5,-1,,2.1,,2.855,2.5,,,,,,,,,depth from Tumber-Davila 2022,"height, SLA from Carmona 2021",,,,,
24,nnss.us,SCHISMUS ARABICUS,0.3067008,0.25714855,2.27615137,0.320392533,0.063243983,1.96945057,-1.906206587,,,4.05,,0.18,,,,,,,,,rootN from TRY,depth from Stromberg 2013,,,,,
892,capwhite.us,SCHISMUS ARABICUS,24.71428571,32,35.71428571,7.714285714,-24.28571429,11,-35.28571429,,,4.05,,0.18,,,,,,,,,rootN from TRY,depth from Stromberg 2013,,,,,
930,capmcd.us,SCHISMUS ARABICUS,71.42857143,70.28571429,33.85714286,25.14285714,-45.14285715,-37.57142857,-7.57142858,,,4.05,,0.18,,,,,,,,,rootN from TRY,depth from Stromberg 2013,,,,,
274,spvdrt.ar,SCHISMUS BARBATUS,1,1,2.333333333,1.333333333,0.333333333,1.333333333,-1,29.00293247,0.25,,18.21,0.16,,,,81.47,,,,81.47,"height, SLA from TRY",depth from Tumber-Davila 2022,leafN from CoREE,SRL fine from Rolhauser 2016,,,
871,gmmolar.us,SCHISMUS BARBATUS,23.42857143,24.71428571,1,0,-24.71428571,-22.42857143,-2.28571428,29.00293247,0.25,,18.21,0.16,,,,81.47,,,,81.47,"height, SLA from TRY",depth from Tumber-Davila 2022,leafN from CoREE,SRL fine from Rolhauser 2016,,,
927,gmgranite.us,SCHISMUS BARBATUS,68.85714286,65.71428571,3.142857143,3.714285714,-62,-65.71428572,3.714285721,29.00293247,0.25,,18.21,0.16,,,,81.47,,,,81.47,"height, SLA from TRY",depth from Tumber-Davila 2022,leafN from CoREE,SRL fine from Rolhauser 2016,,,
729,cedartrait.us,SCHIZACHYRIUM SCOPARIUM,9.555555556,7.4,10.11111111,6,-1.4,0.555555554,-1.955555554,14.4,0.15,7.8,29.88,0.3048,0.403212551,71.66428973,0.563175,,0.290984038,0.424696844,0.290984038,71.66428973,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
732,sand.us,SCHIZACHYRIUM SCOPARIUM,6,7.5,14,9,1.5,8,-6.5,14.4,0.15,7.8,29.88,0.3048,0.403212551,71.66428973,0.563175,,0.290984038,0.424696844,0.290984038,71.66428973,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
825,cedarsav.us,SCHIZACHYRIUM SCOPARIUM,14.28571429,16,20.625,17,1,6.33928571,-5.33928571,14.4,0.15,7.8,29.88,0.3048,0.403212551,71.66428973,0.563175,,0.290984038,0.424696844,0.290984038,71.66428973,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD fine from TRY","RTD, SRL, RMF from groot",,,,
225,jilpanger.au,SCHOENUS APOGON,0.625,1,0.625,0.5,-0.5,0,-0.5,,0.185216667,,10.04279485,,,,,,,,,,"height, SLA from austraits",,,,,,
1078,sand.us,SCLERIA TRIGLOMERATA,0,0,6,6,6,6,0,,1,,,,,,,,,,,,height from CoREE,,,,,,
234,brokenh.au,SCLEROLAENA DIACANTHA,1,1,1,1,0,0,0,17.13159156,0.354166667,,4.354913878,,,,,,,,,,"height, SLA from TRY",leafN from austraits,,,,,
643,cobar.au,SCLEROLAENA DIACANTHA,3.333333333,5,1,1,-4,-2.333333333,-1.666666667,17.13159156,0.354166667,,4.354913878,,,,,,,,,,"height, SLA from TRY",leafN from austraits,,,,,
689,quilpie.au,SCLEROLAENA DIACANTHA,3,6,3,3,-3,0,-3,17.13159156,0.354166667,,4.354913878,,,,,,,,,,"height, SLA from TRY",leafN from austraits,,,,,
1036,milparinka.au,SCLEROLAENA DIACANTHA,1,0,3,2,2,2,0,17.13159156,0.354166667,,4.354913878,,,,,,,,,,"height, SLA from TRY",leafN from austraits,,,,,
770,milparinka.au,SCLEROLAENA ERIACANTHA,1,10,0,0,-10,-1,-9,,0.2,,7.535749722,,,,,,,,,,"height, SLA from TRY",,,,,,
1060,quilpie.au,SCLEROLAENA ERIACANTHA,0,0,4,3.333333333,3.333333333,4,-0.666666667,,0.2,,7.535749722,,,,,,,,,,"height, SLA from TRY",,,,,,
117,credoj.au,SCLEROLAENA OBLIQUICUSPIS,0.5,0.5,0.5,0,-0.5,0,-0.5,,0.344,,5.111417548,,,,,,,,,,"height, SLA from TRY",,,,,,
200,sevblack.us,SCLEROPOGON BREVIFOLIUS,4.1,0.75,1.95,0,-0.75,-2.15,1.4,,,,14.7175273,1.03,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,,,,,
437,passogavia.it,SCORZONEROIDES HELVETICA,3.2,1.8,3.96,1.8,0,0.76,-0.76,19.91124679,0.036,,30.24299383,,,,,,,,,,"leafN, height, SLA from Bjorkman 2018",,,,,,
360,kiskun.hu,SECALE SYLVESTRE,0.436666667,1.175,0.0325,0.146,-1.029,-0.404166667,-0.624833333,,0.35,,13.426,,,,,,,,,,SLA from Carmona 2021,height from Halassy 2019,,,,,
850,cmss.us,SEDUM LANCEOLATUM,14,20,2,2,-18,-12,-6,14.02,0.034118056,,19.94714647,,,,,,,,,,"leafN, height, SLA from CoREE",,,,,,
545,oreaa.us,SEDUM STENOPETALUM,2.666666667,2.875,3.5,2.875,0,0.833333333,-0.833333333,12.3,0.1118,,9.29,0.1,,,0.58,,,,,,depth from groot,"leafN, height, SLA, diam from Tortorelli 2022",,,,,
471,ukulingadrt.za,SENECIO BUPLEUROIDES,3,2,8.166666667,7.333333333,5.333333333,5.166666667,0.166666666,,,,,,,,,,,,,,,,,,,,
459,ukulingadrt.za,SENECIO CORONATUS,1.5,2,7.5,3,1,6,-5,,,,,,,,,,,,,,,,,,,,
